Vintage,Wine,Score,Reviewer/Publication,Reviewed by,Honorable Mentions,Review
2022,Sonoma Coast Chardonnay,,,,,
2022,Russian River Valley Pinot Noir,93,Wine Enthusiast,Tom Capo,,"The nose of this wine displays generous raspberry and cola aromas. On the palate, waves of orange peel acidity are balanced by star anise, black cherry and tart plum flavors in a rich, but not heavy framework. "
2022,Russian River Valley Pinot Noir,92,Jeb Dunnuck,Audrey Frick,,"Ripe red/ruby-colored, the 2022 Pinot Noir Russian River Valley offers expressive notes of dried cherries, anise, fresh violets, lifted spices, and forest floor. Medium-bodied, it has a refined feel on the palate, with fine tannins and even, balanced acidity through to its floral and elegant finish. Drink 2025-2035."
2022,Russian River Valley Pinot Noir,92,James Suckling,,,"Lovely nose with aromas of strawberries, raspberries, cranberries and mild spices. It’s medium-bodied with vivid acidity. Crunchy and fruit-driven with a succulent finish. Drink now."
2022,Russian River Valley Pinot Noir,91,Wilfred Wong,,,"The 2022 Domaine Della Russian River Valley Pinot Noir is definitive and complete on the palate. This wine shows aromas and flavors of spice box, a suggestion of sarsaparilla, and ripe strawberries. Try it with a delicately spiced lamb stew."
2022,Russian River Valley Pinot Noir,89,Wine Spectator,James Molesworth,,"Friendly notes of cherry and damson plum offer a breezy edge, with tea and potpourri accents on the silky, easy finish. Drink now through 2026. 400 cases made."
2022,Sonoma Coast Pinot Noir,92,Wine Enthusiast,Tom Capo,,"Bright cherry and raspberry liqueur aromas dominate the nose of this softly colored but intensely aromatic Pinot. The palate is saturated with brandy-soaked cherries, anise and sweet cinnamon flavors in a medium-bodied frame."
2022,Sonoma Coast Pinot Noir,90,Wilfred Wong,,,"The 2022 Domaine Della Sonoma Coast Pinot Noir is well balanced and pleasing on the palate. This wine exhibits aromas and flavors of dried spices, chalk, and savory earth. Enjoy it with a grilled lamb and heirloom tomato sandwich. "
2022,Sonoma Coast Pinot Noir,91,Jeb Dunnuck,Audrey Frick,,"The 2022 Pinot Noir Sonoma Coast boasts a medium ruby color and is spicy and ripe with aromas of red berries, lifted spice, dusty earth, and wild herbs. Mid-weight and bright on the palate, it has zippy lift along with good ripeness and a clean, spicy finish. It’s a solid appellation wine to enjoy over the coming 5-6 years.
"
2022,Sonoma Coast Pinot Noir,91,James Suckling,,,"Fruity, juicy and fruit-driven, with raspberries, sour cherries, cranberries and mild spices on the nose. Medium-bodied with silky tannins and bright acidity. Succulent, with crunchy wild berry character on the palate and a flavorful finish with a peppery kick. Drink now."
2022,Sonoma Coast Pinot Noir,88,Wine Spectator,James Molesworth,,"Offers a red licorice note wrapped around plum and cherry flavors before ending with a fruitcake accent on the finish, showing a touch of brambly energy. A little shy on depth, though. Drink now through 2027. 400 cases made."
2022,Santa Lucia Highlands Pinot Noir,94,Wilfred Wong,,,"The 2022 Domaine Della Santa Lucia Highlands Pinot Noir is an excellent wine with lasting depth on the palate. This wine excels with aromas and flavors of alluring sandalwood, tart blackberries, and rocks-in-the-desert. Invite your favorite wine buds and serve it with a garlic and rosemary-infused crown roast of lamb. "
2022,Santa Lucia Highlands Pinot Noir,93,Wine Enthusiast,Matt Kettman,,"Elegantly rich aromas of boysenberry, black plum, mace and star anise are polished on the nose of this bottling. The palate lands with a fresh blast of strawberry and raspberry as cinnamon and peppery spices elevate the experience."
2022,Santa Lucia Highlands Pinot Noir,92,James Suckling,,,"A medium-bodied, fruity and crunchy pinot with notes of cranberries, red currants, wild strawberries and baking spices. Very juicy and playful. Fresh and succulent with a red currant-like finish. Drink or hold."
2022,"""Ritchie Vineyard"" RRV Chardonnay",94,Wine Enthusiast,Tom Capo,,"The nose of this wine is dominated by green apples and cinnamon, with intense freshness on the palate. Flavors of lemon and lime zest, Anjou pear and sweet baking spice mingle and swirl everywhere. The finish of the wine seems to be composed entirely of rays of sunshine. — Tom Capo"
2022,"""Ritchie Vineyard"" RRV Chardonnay",94,James Suckling,James Suckling,,"Aromas of spiced apples, baked pears, pastries, sweet spices and hints of baked lemons. It’s medium-bodied with fresh acidity. Delicious core of baked pears at the center with a caressing texture. Dense but agile, with a long, flavorful, vivid and focused finish. Drink or hold."
2022,"""Ritchie Vineyard"" RRV Chardonnay",90,Jeb Dunnuck,Audrey Frick,,"A yellow/straw color, the 2022 Chardonnay Ritchie Vineyard is forward and potent in the glass with notes of scorched earth, resin, peach, and poached citrus. Full-bodied, it’s ripe and showing its more decadent nature on the palate, with lasting notes of oak spice and vanilla. Drink it over the next several years."
2022,"""Ritchie Vineyard"" RRV Chardonnay",85,Wine Spectator,MaryAnn Worobiec,,"A distinctive version, with overt notes of toast, spices and honeysuckle that threaten to overwhelm the core of marmalade and peach preserves. However, a refreshing thread of acidity pulls all the threads together into an appealing, refreshing mix. Drink now. 150 cases made."
2022,"""Graham Family Vineyard"" RRV Pinot Noir",95,The Tasting Panel,,,"Buoyant mouthfeel, pillowy and resilient, with a savory aspect. Black plum, sandalwood, and soy sauce extends salinity along with deep base notes of forest floor. The espresso-black cherry finish is long and satisfying."
2022,"""Graham Family Vineyard"" RRV Pinot Noir",94,Wine Enthusiast,Tom Capo,,"Ripe, round cherry pie aromas waft from the glass of this decadent Russian River Pinot. The palate is bright and laser focused, with a juicy core of raspberry liqueur, orange blossom and zippy tangerine peel before an acid driven finale that lasts well over a minute."
2022,"""Graham Family Vineyard"" RRV Pinot Noir",93,Wine Spectator,James Molesworth,,"Bright, fresh and almost piercing notes of cherry and raspberry preserves are streamlined and racy in feel, with a gloss of singed vanilla and red licorice adding some bling to the pinpoint finish. Drink now through 2031. 300 cases made."
2022,"""Graham Family Vineyard"" RRV Pinot Noir",93,Jeb Dunnuck,Audrey Frick,,"Youthful ruby/magenta in hue, the 2022 Pinot Noir Graham Family Vineyard develops complexity on the nose, with notes of rose petals, ripe raspberries, licorice, and fresh rosemary. Medium-bodied, it gains in concentration and length on the palate, revealing ripe tannins, a graceful feel, and notes of earth and incense on the finish. Drink it over the coming 8-10 years."
2022,"""Graham Family Vineyard"" RRV Pinot Noir",92,James Suckling,,,"A juicy, fruity and supple red with raspberries, wild strawberries and some wet stone on the nose. Medium-bodied with silky tannins and bright acidity. Crunchy and playful, with sour cherry character throughout and a juicy, fruity finish. Drink now."
2022,"""Earl Stephens Vineyard"" RRV Pinot Noir",95,Wilfred Wong,,,"The 2022 Domaine Della Earl Stevens Vineyard Pinot Noir is long-lasting on the palate. This wine shows aromas and flavors of intense spice box, hints of chalk, and garden herbs. Try it with Thai Lamb Laarb."
2022,"""Earl Stephens Vineyard"" RRV Pinot Noir",94,Wine Spectator,James Molesworth,,"Ripe cherry, raspberry and kirsch notes form the core, which stays focused and energetic thanks to a spine of acidity running underneath. Singed apple wood and red licorice accents frame the finish as the fruit ripples on. Drink now through 2034. 300 cases made."
2022,"""Earl Stephens Vineyard"" RRV Pinot Noir",94,Jeb Dunnuck,Audrey Frick,,"A similar youthful ruby red color, the 2022 Pinot Noir Earl Stephens Vineyard is more lifted in the glass, with notes of bright spices, red cherries, beet root, and mint. Medium-bodied, it has more tension through the palate, with bright acidity, a mouthwatering feel, and fine tannins, as well as a lovely orange citrus-noted finish. It’s going to hold up nicely over the coming 10-12 years."
